a+,1
acungan jempol,1
adaptif,1
adil,1
afinitas,1
afirmasi,1
agilely,1
agung,1
ahli,1
ahlinya,1
ajaib,1
aklamasi,1
akomodatif,1
akurat,1
alam mimpi,1
alhamdulillah,1
allahu akbar,1
altruistis,1
aman,1
amanah,1
amat,1
ambisius,1
andal,1
aneh,1
anggun,1
angin sepoi-sepoi,1
angkat,1
antusias,1
antusiasme,1
apik,1
apresiasi,1
asli,1
aspirasi,1
asyik,1
bagos,1
bagus,1
bahagia,1
baik,1
baik diposisikan,1
baik sekali,1
baik-baik,1
bakat,1
bangga,1
bantuan,1
banyak,1
banyak akal,1
barang baru,1
batu permata,1
bebas,1
bebas masalah,1
bebas pulsa,1
bebas rasa sakit,1
bebas resiko,1
bekerja,1
bekerja keras,1
belas kasihan,1
benar,1
benar-benar,1
bengal,1
beradaptasi,1
beralasan,1
berani,1
berapi,1
berarti,1
berbaik hati,1
berbakat,1
berbesar hati,1
berbudi luhur,1
bercacat,1
bercahaya,1
bercanda,1
bercita-cita,1
berdaya cipta,1
berdebar,1
berdedikasi,1
berdikari,1
berempati,1
bergairah,1
bergaya,1
bergema,1
bergembira,1
bergembira sekali,1
bergengsi,1
bergizi,1
berguna,1
berharga,1
berhasil,1
berhutang,1
berikut,1
berimbang,1
berisi,1
beristirahat,1
berjanji,1
berjasa,1
berjaya,1
berjenis,1
berjuang,1
berkapasitas besar,1
berkat,1
berkeinginan,1
berkelakuan baik,1
berkelanjutan,1
berkembang,1
berkeyakinan,1
berkilau,1
berkilauan,1
berkualitas,1
berlangsung mudah,1
berlimpah,1
berlimpah-limpah,1
bermaksud baik,1
bermanfaat,1
bermanuver,1
bermartabat,1
bernilai,1
berpendidikan,1
berpendidikan baik,1
berpengalaman,1
berpengaruh,1
berpengetahuan luas,1
berpijar,1
bersatu,1
bersedia melakukan,1
bersemangat,1
bersemangat meluap-luap,1
bersenang-senang,1
bersenda gurau,1
berseri,1
bersifat dermawan,1
bersifat mendamaikan,1
bersih,1
bersinar,1
bersorak,1
bersubsidi,1
bersuka cita,1
bersuka ria,1
bersyukur,1
bertanggung jawab,1
bertekun,1
berterimakasih,1
beruntung,1
berwarna ria,1
berwawasan,1
besar,1
besar sekali,1
biaya rendah,1
bijak,1
bijaksana,1
bikin cemburu,1
bimbingan,1
bintang rock,1
bisa digunakan,1
bisa diterapkan,1
bonus,1
boros,1
brilian,1
cahaya,1
cahaya redup,1
cakap,1
cantik,1
cashbacks,1
cekatan,1
cemas,1
cemerlang,1
cepat,1
cerah,1
cerdas,1
cerdik,1
cergas,1
cermat,1
cetar,1
cetar membahana,1
cinta,1
cocok,1
contoh,1
cukup,1
cukup besar,1
cukuplah,1
damai,1
dapat diandalkan,1
dapat dicapai,1
dapat diganti,1
dapat dipercaya,1
dapat diraih,1
dapat disesuaikan,1
daya tarik,1
dengan mewah,1
dengan senang hati,1
dengan sopan,1
dermawan,1
dewasa,1
diakses,1
diakui,1
diam,1
dianggap baik,1
dibaca,1
dibebaskan,1
diberikan,1
dibersihkan,1
dibuat dengan baik,1
dicapai,1
didominasi,1
didukung,1
diganggu gugat,1
diganti oleh pengguna,1
digunakan,1
dihargai,1
diinginkan,1
diizinkan,1
dikelola,1
dikelola dengan baik,1
dikembalikan,1
dilayari,1
dilengkapi,1
dilepas,1
dilihat,1
dimenangkan,1
dimengerti,1
dinamis,1
diperbaharui,1
dipercaya,1
diperoleh,1
diplomatik,1
dipoles,1
direformasi,1
direkomendasikan,1
diremajakan,1
direstrukturisasi,1
disahkan,1
disayangi,1
disederhanakan,1
disubsidi,1
ditambah lagi,1
ditegakkan,1
diterima dengan baik,1
ditingkatkan,1
diverifikasi,1
dorongan,1
duanya,1
Dukung,1
dukungan,1
durian runtuh,1
edukatif,1
efektif,1
efektivitas,1
efisien,1
egois,1
ekonomis,1
ekstase,1
elastis,1
elegan,1
elite,1
emas,1
empati,1
enak,1
enchantingly,1
energi,1
ergonomis,1
etis,1
euforia,1
evaluatif,1
examplar,1
fajar,1
fantastis,1
fasih,1
fav,1
fave,1
favorit,1
fenomenal,1
firdaus,1
fleksibel,1
fleksibilitas,1
futuristik,1
gagah,1
gaib,1
gainfully,1
gairah,1
gamblang,1
gembira,1
gembira luar biasa,1
gembira sekali,1
gemuk,1
gesit,1
giat,1
gigih,1
gokil,1
gratis,1
gurih,1
habis,1
hadiah,1
hak istimewa,1
halal,1
halus,1
handal,1
handier,1
hangat,1
harga diri,1
harga rendah,1
harmoni,1
harmonis,1
harta,1
harum,1
hasil karya,1
hasil terbaik,1
hati,1
hati-hati,1
hebat,1
hemat,1
hemat biaya,1
hemat energi,1
heran,1
heroik,1
hore,1
horee,1
hormat,1
hubungan,1
hujan es,1
iba,1
ideal,1
idealnya,1
idola,1
ikhwan,1
ilahi,1
ilu,1
imajinatif,1
iman,1
imut,1
indah,1
individual,1
infalibilitas,1
inovasi,1
inovatif,1
inspirasi,1
inspirasional,1
inspiratif,1
instrumental,1
integral,1
intelijen,1
intim,1
intrik,1
intuitif,1
irama,1
iri,1
istimewa,1
isyarat,1
jaminan,1
jaminan mutu,1
janji,1
jawa,1
jelas,1
jempol,1
jempolan,1
jenaka,1
jenius,1
juara,1
jujur,1
kagum,1
kanan,1
karisma,1
karismatik,1
karya,1
kasih sayang,1
kaya,1
kaya fitur,1
keadaan yg sebenarnya,1
keadilan,1
keagungan,1
keajaiban,1
keanggunan,1
keangkeran,1
keaslian,1
